generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,0.687283,-161.089,1,1
100000,4,10.6413,14.8824,3.94543,0.371686
200000,3,10.5997,33.3548,0.73035,0.362138
300000,3,13.2405,26.5121,1.24544,0.351913
400000,3,9.1037,22.2257,5.05867,0.331912
500000,3,16.1916,14.7774,1.22682,0.325291
600000,6,19.8696,15.8722,1.9152,0.314466
700000,3,11.7691,22.7645,2.0473,0.311202
800000,4,16.5418,19.061,3.85833,0.320732
900000,14,49.9134,44.5009,5.4719,0.307383
1000000,5,18.1869,38.5091,5.35112,0.306072
1100000,3,12.2452,33.528,0.817607,0.304691
1200000,4,11.9655,23.0722,1.69837,0.316759
1300000,3,10.6342,13.2095,1.52839,0.29764
1400000,4,13.8941,25.1535,2.66836,0.299485
1500000,8,25.0785,29.5502,6.396,0.311037
1600000,4,14.0511,-1.06968,2.54325,0.302074
1700000,5,18.2088,18.7241,3.45301,0.31656
1800000,4,13.9296,18.6894,3.07739,0.305056
1900000,7,25.6224,18.3083,3.69471,0.28932
2000000,4,14.283,41.8239,3.3138,0.293035
2100000,3,14.4948,39.2841,2.12661,0.304187
2200000,3,13.5253,30.9334,2.12577,0.29681
2300000,6,22.7055,32.3793,2.10792,0.296352
2400000,6,20.6123,26.0455,2.58087,0.306164
2500000,5,21.1951,56.8591,2.0204,0.295019
2600000,5,19.794,8.0564,4.06182,0.295077
2700000,3,11.3581,24.2459,0.910761,0.31343
2800000,5,18.8474,47.1349,1.66835,0.29205
2900000,6,26.8624,29.8769,3.99786,0.297892
3000000,5,16.9092,38.4903,4.12815,0.29346
3100000,4,17.3749,18.8375,1.98459,0.307791
3200000,5,22.055,35.0168,3.89457,0.30925
3300000,4,17.4825,9.31606,1.15346,0.308087
3400000,4,16.9745,27.4718,4.24982,0.29843
3500000,5,21.9086,-7.31011,2.88075,0.30624
3600000,4,16.504,30.4111,1.98895,0.308433
3700000,4,16.5073,37.726,3.69159,0.298918
3800000,4,11.8836,19.3003,1.81092,0.308626
3900000,3,15.3403,7.00436,0.955672,0.3028
4000000,4,18.487,42.0069,3.61707,0.300224
4100000,6,22.2443,23.8697,3.50686,0.2963
4200000,6,24.376,15.4959,2.32989,0.30566
4300000,5,19.4642,27.5161,3.80873,0.301181
4400000,3,14.3809,11.0992,1.23011,0.299315
4500000,3,12.4294,21.9308,2.58022,0.300258
4600000,5,16.576,17.6045,2.49332,0.296683
4700000,4,15.0486,21.9896,2.33788,0.296349
4800000,4,10.7047,36.2522,4.06385,0.302721
4900000,4,15.6245,31.0318,2.02266,0.308814
5000000,6,16.0149,20.1597,4.60261,0.307264
5100000,3,9.62172,26.6548,2.02913,0.307333
5200000,6,22.2456,18.2033,2.93867,0.29575
5300000,4,19.5532,14.6858,1.79066,0.307811
5400000,4,16.167,33.6474,1.60304,0.30186
5500000,5,18.7764,21.6256,4.2996,0.306539
5600000,4,17.6801,20.392,1.58798,0.298564
5700000,4,12.2853,21.2059,3.59684,0.306531
5800000,4,17.8162,12.5255,1.73727,0.29979
5900000,5,20.6653,25.4638,3.09142,0.306108
6000000,4,13.1409,35.2489,4.52871,0.307133
6100000,6,26.4777,36.7823,2.37131,0.307517
6200000,5,17.004,12.3789,3.47671,0.301085
6300000,4,17.0188,27.6945,3.40796,0.30511
6400000,6,22.5427,20.514,4.21972,0.29731
6500000,5,20.1335,26.3995,4.24623,0.305192
6600000,9,35.9109,34.0457,3.77116,0.29851
6700000,4,11.3532,28.5107,3.14631,0.30456
6800000,5,18.9271,33.6669,4.14959,0.300744
6900000,6,25.7589,21.2594,0.726638,0.299616
7000000,7,25.9586,10.1684,5.0715,0.3186
7100000,5,17.4218,12.3156,2.37939,0.30731
7200000,3,11.9359,20.5464,2.29074,0.317345
7300000,4,14.914,29.3581,3.17535,0.305503
7400000,4,18.0372,22.6027,1.18367,0.307384
7500000,3,13.7853,17.7745,1.61801,0.307463
7600000,6,23.1686,20.2137,3.21036,0.305407
7700000,7,22.7452,35.674,4.07345,0.309034
7800000,4,14.7268,33.8198,2.98591,0.307978
7900000,6,21.7185,29.0799,2.78578,0.30119
8000000,3,13.7399,21.7903,0.363356,0.305427
8100000,4,16.8274,35.6137,0.916024,0.29852
8200000,4,17.2793,22.2679,2.36755,0.305374
8300000,5,18.5194,29.8974,3.24513,0.299954
8400000,4,18.005,31.2486,2.18006,0.305244
8500000,3,14.7698,24.5109,0.554102,0.303678
8600000,5,14.8221,0.190052,2.99891,0.301511
8700000,3,12.7962,24.9217,1.78164,0.304753
8800000,5,20.5828,28.9328,2.282,0.308505
8900000,5,18.4846,33.0259,4.0267,0.303715
9000000,4,10.5266,16.4869,6.37576,0.308925
9100000,4,12.3896,25.0493,2.37298,0.303038
9200000,3,14.5064,32.1349,1.88092,0.301586
9300000,7,18.1732,48.2773,5.34561,0.301972
9400000,5,20.8475,5.25939,1.69424,0.307912
9500000,6,24.5335,37.5826,3.71352,0.284145
9600000,5,20.243,35.8984,3.93683,0.278253
9700000,4,13.0097,26.8642,4.74067,0.299095
9800000,5,21.7008,40.0138,3.1685,0.304794
9900000,3,13.0782,31.6577,3.00092,0.302467
10000000,5,15.228,22.4408,5.47647,0.305546
10100000,11,37.8056,12.0371,8.02566,0.300083
10200000,3,11.5446,27.7841,0.977468,0.293243
10300000,3,14.2176,-2.82304,1.04254,0.292105
10400000,8,24.8567,12.7777,2.22561,0.292488
10500000,6,23.7079,34.7402,2.13688,0.301203
10600000,4,16.7232,16.2388,2.70876,0.3029
10700000,4,13.179,7.87778,2.63409,0.311585
10800000,4,14.6376,18.9542,3.79291,0.299209
10900000,4,15.5938,12.2122,4.74639,0.3146
11000000,4,17.0619,27.0208,2.14503,0.313645
11100000,5,23.4311,24.2903,1.2341,0.304278
11200000,5,21.5749,24.9223,2.62527,0.313836
11300000,4,15.7633,14.9952,0.753623,0.302544
11400000,5,16.1002,44.1418,3.55666,0.30938
11500000,8,33.5403,29.6096,3.86515,0.312522
11600000,5,19.9921,26.1373,1.78562,0.305548
11700000,4,15.7204,12.5632,3.62431,0.280883
11800000,8,26.3445,23.0251,5.97311,0.310581
11900000,4,16.4606,25.2813,1.73354,0.309979
12000000,6,22.846,40.7328,2.33945,0.308939
12100000,3,13.2429,5.20046,1.28592,0.30569
12200000,4,13.2156,7.67164,3.05375,0.301878
12300000,3,14.9115,3.25309,1.87696,0.30431
12400000,4,14.7496,14.801,2.22291,0.299243
12500000,5,21.6508,27.1257,2.41335,0.305655
12600000,4,14.2985,24.3646,3.34517,0.300363
12700000,6,20.7938,30.1041,4.22974,0.29418
12800000,3,15.6241,13.3147,2.15965,0.296245
12900000,7,25.0248,20.3278,4.07984,0.303703
13000000,7,29.5173,11.0845,2.49858,0.302174
13100000,3,12.6545,7.66928,1.63235,0.30299
13200000,11,35.4094,19.2767,8.03485,0.30378
13300000,4,10.6027,32.8188,2.34384,0.2916
13400000,5,16.1644,24.6234,4.11157,0.304085
13500000,7,20.7289,39.991,4.9107,0.288657
13600000,5,20.7929,30.5399,4.12576,0.301868
13700000,7,15.9625,50.525,3.27198,0.292285
13800000,4,16.9661,35.1469,1.84104,0.299414
13900000,6,18.296,33.1383,3.57251,0.303915
14000000,6,20.7437,31.9926,4.18069,0.297915
14100000,5,19.3629,35.1884,1.30426,0.301885
14200000,6,23.9463,34.6974,2.10218,0.293698
14300000,6,25.1475,37.5988,1.72742,0.302447
14400000,8,35.6787,5.52767,2.03888,0.296306
14500000,7,26.3724,49.1203,3.67807,0.30126
14600000,4,15.6606,15.5057,2.3147,0.29979
14700000,4,19.2601,11.794,1.43115,0.305757
14800000,6,20.9202,38.2628,2.93646,0.299239
14900000,8,27.5579,47.3485,5.37059,0.298636
15000000,6,22.586,38.1598,2.3418,0.296553
