generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-37.3604,-156.675,1,1
100000,4,26.957,97.4717,2.25312,0.36954
200000,2,18.6493,88.1565,1.31196,0.377708
300000,3,21.57,98.955,2.26544,0.363379
400000,3,20.9711,78.686,4.55959,0.359032
500000,2,18.5085,83.2598,0.303617,0.378845
600000,1,12.227,89.2477,1.70235,0.377484
700000,3,22.1985,94.2128,2.03483,0.37702
800000,3,25.9839,72.5879,2.04895,0.376838
900000,6,39.6211,76.9655,3.71813,0.362
1000000,4,28.9696,73.6919,2.00072,0.368015
1100000,2,11.0917,81.4824,1.57421,0.369584
1200000,2,16.3647,86.8459,0.826408,0.371571
1300000,1,10.8333,89.6022,2.11003,0.368312
1400000,3,24.7824,88.2466,2.10866,0.368896
1500000,5,32.7555,100.42,2.14065,0.367802
1600000,1,0.829175,100.148,1.17555,0.367395
1700000,3,24.5339,96.6412,0.736245,0.365896
1800000,4,32.4389,95.4737,2.0473,0.358553
1900000,4,32.5261,88.7594,1.44245,0.35266
2000000,3,22.8873,95.0001,3.29902,0.362098
2100000,3,22.0505,92.3886,1.51458,0.356643
2200000,1,12.6248,83.8677,0.58079,0.37173
2300000,4,28.7168,83.9256,1.31003,0.367077
2400000,3,20.7679,78.3454,3.24672,0.364203
2500000,1,11.4632,78.3768,1.49129,0.364982
2600000,1,11.8107,85.0594,0.507401,0.369616
2700000,1,11.0148,90.0227,0.367527,0.368423
2800000,1,12.7742,72.1338,0.656824,0.37453
2900000,2,13.2426,84.9735,1.16712,0.369681
3000000,4,29.669,84.7643,2.78051,0.364843
3100000,1,10.7821,86.2536,1.33925,0.35694
3200000,3,24.8647,102.099,1.25088,0.35506
3300000,5,35.4118,96.3959,3.17951,0.356457
3400000,3,22.3202,94.5744,2.7536,0.361165
3500000,6,41.0936,90.4066,2.84868,0.361793
3600000,2,12.7552,81.0218,2.55511,0.362691
3700000,3,23.567,68.8493,2.48322,0.36269
3800000,2,17.3264,89.5654,1.53849,0.359156
3900000,2,17.346,86.364,1.49912,0.357515
4000000,1,12.6625,87.7557,0.565171,0.35995
4100000,2,19.725,76.7206,0.832566,0.375966
4200000,6,37.6192,84.105,3.80147,0.376232
4300000,2,17.1617,87.491,2.27911,0.367526
4400000,1,11.5027,87.9442,1.23876,0.367449
4500000,2,14.626,72.7669,3.98489,0.3875
4600000,1,10.883,86.491,0.362872,0.368243
4700000,8,53.2301,97.447,3.11724,0.37577
4800000,2,14.3641,93.6676,2.1187,0.370404
4900000,5,35.7823,85.3179,4.15534,0.369453
5000000,4,30.8706,96.5471,1.40132,0.367588
5100000,3,20.9242,85.9641,0.638862,0.365467
5200000,3,22.4821,74.3174,1.31979,0.367111
5300000,2,17.913,98.1178,0.532354,0.352985
5400000,2,18.0647,88.1791,2.14509,0.373873
5500000,1,12.0325,89.6155,0.963039,0.367162
5600000,1,12.3665,83.5983,0.647856,0.364315
5700000,2,13.8003,84.0091,1.17082,0.364626
5800000,7,45.3247,98.0238,3.71073,0.357079
5900000,2,17.7568,78.0955,1.74723,0.367104
6000000,8,50.9208,92.4867,4.44933,0.367228
6100000,3,22.7998,71.7983,1.99015,0.370611
6200000,1,13.1316,86.6822,0.248941,0.359489
6300000,1,11.2659,88.2774,0.513688,0.359483
6400000,2,17.0108,92.2294,2.00728,0.367765
6500000,5,35.2253,79.1733,2.25969,0.366446
6600000,2,10.9528,93.1463,1.99346,0.35402
6700000,4,28.7582,101.078,2.12422,0.36337
