generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-5.18888,-159.314,1,1
100000,2,11.6579,25.2629,2.72172,0.357356
200000,3,15.7723,33.1179,2.54763,0.323513
300000,4,22.4636,44.8575,1.84644,0.337222
400000,3,19.039,42.9666,3.38409,0.330477
500000,4,21.9568,48.7365,3.05176,0.311309
600000,6,32.5516,31.5388,1.40176,0.322903
700000,5,27.5593,34.1383,2.89471,0.322883
800000,4,21.0442,47.3604,3.74556,0.317854
900000,4,21.6753,38.8983,3.50716,0.330463
1000000,3,18.7883,27.4567,1.36853,0.32384
1100000,11,55.6585,47.6586,5.21887,0.316513
1200000,7,35.0416,26.9172,2.04949,0.31878
1300000,5,23.7829,42.79,4.87634,0.32638
1400000,4,19.6694,50.4635,2.96568,0.315555
1500000,3,18.0343,33.8286,1.80309,0.31786
1600000,3,15.2806,28.8357,0.315895,0.32599
1700000,4,21.4333,59.5581,1.76543,0.31331
1800000,6,29.7294,32.4322,4.13188,0.311733
1900000,3,17.084,32.925,1.343,0.327396
2000000,8,35.058,22.3135,3.90024,0.324572
2100000,3,19.2075,27.9764,1.49628,0.322276
2200000,7,34.8284,38.3564,3.79864,0.310906
2300000,3,18.0167,39.7714,3.128,0.317552
2400000,4,23.0222,34.8534,2.04597,0.310656
2500000,4,22.8954,45.4674,3.48661,0.320445
2600000,5,16.9125,48.5178,6.60347,0.308776
2700000,5,28.1918,48.9909,1.63307,0.308213
2800000,4,23.8819,48.8715,0.421452,0.309593
2900000,2,14.5125,22.7634,1.84033,0.316098
3000000,5,25.5288,46.6201,5.09107,0.309908
3100000,5,26.7322,47.2374,1.62036,0.31983
3200000,2,14.7421,25.5232,1.13131,0.295124
3300000,3,20.8749,37.5729,1.38915,0.297253
3400000,5,25.5869,28.9536,2.93682,0.319042
3500000,3,18.4267,40.7307,1.97687,0.314558
3600000,7,34.1242,35.0617,4.17517,0.298217
3700000,3,19.4005,40.8214,2.10574,0.312831
3800000,4,23.8137,30.338,1.45407,0.315017
3900000,5,24.1256,42.0377,4.29029,0.316896
4000000,6,32.1514,42.2672,2.80419,0.315479
4100000,3,14.8153,54.1101,3.35875,0.321278
4200000,5,17.1563,36.2233,3.16505,0.319077
4300000,7,35.0923,36.114,3.48541,0.316642
4400000,4,21.0184,39.8563,4.52966,0.314474
4500000,6,25.5381,41.3255,4.7951,0.314143
4600000,6,30.2425,18.1876,3.58578,0.31431
4700000,7,29.9794,20.0968,4.42974,0.317945
4800000,4,19.2667,19.4514,2.69075,0.323936
4900000,3,14.6076,37.2814,3.59897,0.31954
5000000,5,28.541,40.4573,1.63278,0.32435
5100000,5,26.9601,54.6698,4.422,0.316603
5200000,4,22.0472,32.6455,0.311692,0.314451
5300000,4,22.32,10.1055,1.25372,0.31607
5400000,5,22.9818,36.7906,1.54465,0.323487
5500000,5,26.7699,47.3275,2.78531,0.314214
5600000,3,19.2056,40.522,1.3544,0.310764
5700000,7,27.4132,17.9606,7.0707,0.330367
5800000,2,13.8225,44.9052,1.42344,0.310949
5900000,3,20.8975,38.4963,1.24303,0.312054
6000000,5,26.7258,43.3945,1.05209,0.312269
6100000,3,15.6594,39.2675,1.50126,0.28922
6200000,8,46.203,34.0824,1.71721,0.310918
6300000,4,17.2652,50.522,5.57411,0.3119
6400000,5,30.1082,42.4645,2.29894,0.30155
6500000,3,12.104,47.9642,2.74656,0.302665
6600000,6,30.7112,45.0613,4.18212,0.310767
6700000,3,19.2984,53.3221,1.2073,0.292527
6800000,5,29.8151,52.4944,2.56419,0.3095
6900000,7,40.0672,32.685,2.54616,0.314219
7000000,4,22.8284,42.8336,1.61891,0.31254
7100000,5,29.4538,45.4088,1.78034,0.32503
7200000,4,20.9121,39.5599,1.24568,0.315153
7300000,4,20.4715,41.5225,3.17835,0.33968
7400000,7,32.8787,57.9679,4.84315,0.298528
7500000,3,18.6872,35.455,1.60261,0.307012
7600000,6,33.6116,45.8645,0.756962,0.32298
7700000,3,12.6288,41.4226,1.43011,0.312485
7800000,5,30.2535,55.7906,1.77491,0.297333
7900000,8,44.5004,49.0478,3.14208,0.314209
8000000,3,15.9452,49.3493,1.48153,0.318654
8100000,3,17.7049,34.1408,0.886398,0.29516
8200000,4,21.9387,46.2664,1.97389,0.311438
8300000,4,19.2784,30.7717,3.72792,0.310455
8400000,5,27.7665,67.4629,1.54652,0.311055
8500000,5,28.4688,57.7032,3.35077,0.290745
8600000,3,19.6385,33.2185,0.807657,0.313203
8700000,6,23.1187,30.0334,4.74492,0.308828
8800000,3,19.4973,29.9465,1.30306,0.32293
8900000,5,23.3341,60.9956,5.40045,0.31765
9000000,3,18.7208,46.2147,1.39555,0.315467
9100000,6,34.3217,23.38,2.21486,0.31613
9200000,8,36.7844,43.5389,4.48179,0.31045
9300000,3,18.9539,39.3437,1.71302,0.30864
9400000,3,13.5503,11.3611,1.51883,0.308968
9500000,2,12.8761,27.7063,1.36216,0.3144
9600000,3,18.9234,46.1277,1.53502,0.2924
9700000,5,28.2385,23.8811,1.22226,0.30438
9800000,7,40.4666,54.7188,1.74875,0.305721
9900000,3,20.0904,59.6794,0.531972,0.306208
10000000,8,33.7418,43.9185,5.63671,0.320584
10100000,4,17.9039,52.8254,4.48339,0.322455
10200000,4,16.7914,41.1428,3.65104,0.309455
10300000,3,18.2831,48.4271,1.8541,0.32991
10400000,6,28.8277,46.5507,4.85137,0.311412
10500000,5,22.8512,44.532,4.86123,0.326297
10600000,5,28.4882,47.4879,1.53325,0.318052
10700000,4,23.8931,28.3215,1.19925,0.310916
