generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-18.6473,-156.803,1,1
100000,6,26.8075,104.415,4.95074,0.348017
200000,3,15.0416,99.5257,1.85391,0.319518
300000,2,15.246,98.0124,0.849631,0.333342
400000,3,15.505,94.0346,3.15066,0.318652
500000,2,16.2893,93.1904,1.58787,0.317459
600000,3,17.9285,99.7951,4.0597,0.325608
700000,6,36.5902,108.581,2.11898,0.316551
800000,2,8.85414,97.3467,5.52945,0.317795
900000,4,19.8056,106.978,3.63148,0.32016
1000000,2,15.8719,95.3577,2.56113,0.31726
1100000,4,27.9082,95.3284,1.32392,0.316442
1200000,3,22.8098,100.611,0.440021,0.316535
1300000,3,22.7921,78.0433,1.31572,0.30626
1400000,5,25.945,96.7686,3.61107,0.318816
1500000,7,38.1749,102.374,5.86714,0.321632
1600000,5,24.4282,117.701,3.28513,0.31891
1700000,3,18.2294,100.073,2.00008,0.319808
1800000,3,22.7929,96.5686,1.04437,0.319053
1900000,3,23.6299,96.0891,1.00915,0.30578
2000000,3,23.5691,107.871,0.986856,0.312168
2100000,6,37.5074,103.037,3.525,0.313463
2200000,4,20.2739,75.0977,4.41526,0.321576
2300000,3,19.3129,93.2362,1.24341,0.31538
2400000,4,22.8698,97.0728,1.60627,0.322382
2500000,7,36.7073,98.9734,2.38491,0.316887
2600000,4,22.5722,94.7022,4.33773,0.316954
2700000,3,22.1589,89.5014,0.850071,0.317424
2800000,2,12.3099,93.5338,1.568,0.328
2900000,2,15.3675,98.7923,1.96438,0.324665
3000000,6,39.0276,103.806,2.40103,0.324463
3100000,4,28.5172,109.007,1.66083,0.322033
3200000,2,12.4105,87.8512,0.526082,0.312356
3300000,4,16.4118,111.34,3.43143,0.314473
3400000,3,21.5902,90.4785,1.46915,0.30975
3500000,4,15.5029,100.841,4.89262,0.316058
3600000,2,15.5928,90.3221,0.45904,0.313721
3700000,2,15.6193,88.4272,1.93183,0.31315
3800000,2,14.9512,89.2815,2.36283,0.34659
3900000,3,23.3578,96.5965,0.901603,0.338467
4000000,2,9.86759,103.659,3.77489,0.31515
4100000,4,18.5939,112.344,2.31133,0.317201
4200000,5,27.7139,117.736,7.78416,0.311637
4300000,2,14.5484,100.276,1.21799,0.312478
4400000,4,28.624,91.2815,1.31648,0.3119
4500000,3,17.1943,97.5928,2.47566,0.314612
