generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-8.88997,-157.246,1,1
100000,3,10.7538,36.4857,2.12291,0.322677
200000,6,32.5369,99.9801,3.98386,0.243144
300000,3,9.38309,80.2935,2.6088,0.231413
400000,7,41.1875,87.8772,4.32041,0.234517
500000,4,17.6345,72.1656,5.20616,0.218085
600000,4,20.5016,77.4811,3.05657,0.216473
700000,10,49.6418,79.1611,3.17475,0.225066
800000,4,19.8381,51.0945,3.52659,0.224816
900000,3,15.3658,72.6759,2.14062,0.232978
1000000,5,24.9021,71.2397,5.52689,0.226212
1100000,3,18.0275,58.5928,1.73709,0.227882
1200000,13,71.2135,76.8486,5.68789,0.226717
1300000,3,15.4296,80.9613,1.04968,0.22437
1400000,3,19.8906,58.6542,1.23508,0.226349
1500000,3,16.4837,72.4391,1.68313,0.226615
1600000,4,14.5153,80.4393,2.34468,0.21781
1700000,4,23.8897,63.2443,1.25741,0.219385
1800000,5,25.7949,83.3271,4.4483,0.22987
1900000,3,15.3588,78.6163,3.51462,0.21636
2000000,7,34.8494,85.8196,6.00313,0.251145
2100000,6,30.8375,67.6874,2.7455,0.223603
2200000,5,24.7651,72.6259,4.46203,0.223707
2300000,4,20.4354,40.4939,1.84751,0.22461
2400000,3,18.3739,69.5936,2.05996,0.23728
2500000,6,32.222,91.1648,1.90881,0.244826
2600000,4,24.0679,70.2807,1.48001,0.23104
2700000,3,18.4834,60.8031,1.37857,0.224513
2800000,6,32.5732,86.1071,2.88469,0.242847
2900000,6,32.7769,64.9916,4.77256,0.230002
3000000,8,41.2986,84.8785,4.67257,0.223774
3100000,3,14.9835,77.9991,2.34012,0.22793
3200000,4,19.1002,82.6594,4.65627,0.228518
3300000,6,32.6972,75.6004,3.57488,0.22366
3400000,6,28.6832,86.6719,4.2512,0.227272
3500000,3,19.3295,81.327,0.616873,0.22517
3600000,8,41.7509,72.8345,3.97228,0.233484
3700000,6,33.3023,66.5924,2.04514,0.228686
3800000,3,11.474,75.3728,1.66368,0.245115
3900000,5,29.3637,75.9064,2.26505,0.228705
4000000,5,26.3984,93.4324,2.8311,0.241675
4100000,9,50.2541,102.785,6.7541,0.235488
4200000,3,10.9372,79.1321,3.2964,0.242591
4300000,3,19.0056,70.7497,1.93193,0.237292
4400000,9,46.9552,77.4269,4.13671,0.228371
4500000,8,46.8654,78.2503,3.34109,0.2342
4600000,7,37.5278,81.2943,2.04592,0.230008
4700000,5,27.3596,71.6633,3.27484,0.23484
4800000,10,45.493,68.4631,7.95296,0.230631
4900000,4,22.7125,66.1162,2.18512,0.238987
5000000,7,33.9894,71.6853,3.47316,0.228525
5100000,4,21.7624,74.1589,4.10819,0.234128
5200000,4,22.9729,94.4997,1.22025,0.234182
5300000,4,19.0617,60.5547,1.98888,0.244168
5400000,4,20.2223,46.2034,3.12928,0.247094
5500000,6,31.2201,74.6489,4.56737,0.233466
5600000,4,19.6456,55.7642,1.22219,0.229956
5700000,5,29.4255,32.6473,2.18241,0.22941
5800000,9,45.7934,85.0188,6.12235,0.231889
5900000,7,28.2299,66.0069,3.75638,0.231209
6000000,5,29.0962,61.0774,3.02294,0.246512
