generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-84.7312,-156.549,1,1
100000,1,14.4915,120.633,1.35024,0.446846
200000,3,25.6985,138.363,1.63036,0.433458
300000,6,46.0511,139.91,2.78529,0.416905
400000,4,34.1672,125.243,2.76001,0.399639
500000,6,43.2332,133.065,4.57924,0.408969
600000,3,27.8196,131.848,1.71475,0.396426
700000,6,40.9945,134.336,5.43743,0.38804
800000,4,32.9111,128.118,3.61697,0.381152
900000,2,19.2704,129.939,3.13575,0.381935
1000000,4,32.3531,148.13,1.46596,0.382113
1100000,3,28.7836,125.608,1.71339,0.394721
1200000,3,20.5417,147.05,1.05678,0.38384
1300000,2,19.6103,128.135,1.29218,0.384629
1400000,4,33.632,136.415,1.42595,0.386075
1500000,4,32.9445,134.048,0.631981,0.385843
1600000,4,34.3785,138.573,1.04889,0.40787
1700000,2,17.8613,130.903,0.626382,0.389928
1800000,3,26.4582,124.576,1.38474,0.390208
1900000,3,22.8825,128.311,1.31371,0.411973
2000000,8,63.3638,114.972,2.49234,0.39094
2100000,3,24.2122,128.757,3.65983,0.394802
2200000,6,43.0084,144.27,3.73524,0.405619
2300000,3,26.5652,107.948,3.45874,0.422545
2400000,3,26.9083,131.403,1.87494,0.399908
2500000,1,12.503,123.41,0.744604,0.40911
2600000,5,37.9254,138.543,3.73921,0.404244
2700000,5,38.9815,133.115,3.23236,0.401227
2800000,2,21.8658,126.85,0.94743,0.38386
2900000,4,34.2695,142.919,0.701956,0.385895
3000000,3,23.3182,126.111,2.8918,0.397081
3100000,2,18.9467,137.974,1.61797,0.387395
3200000,3,26.2422,139.858,1.75439,0.393621
3300000,1,12.4663,132.245,0.405784,0.382
3400000,4,33.8665,128.832,3.52346,0.391168
3500000,3,25.8338,128.073,1.78697,0.389638
3600000,5,43.2789,140.475,1.91588,0.387196
3700000,4,30.2374,142.643,1.60078,0.389552
3800000,5,32.9612,141.462,4.53642,0.38872
3900000,1,14.6417,98.2221,0.914076,0.395053
4000000,5,42.6015,141.725,0.874499,0.392498
4100000,4,28.2997,130.768,2.24526,0.391666
4200000,6,46.3208,117.061,5.51141,0.39625
4300000,2,21.2416,124.561,2.15661,0.378258
4400000,5,31.9979,137.668,4.3392,0.390766
4500000,4,31.5505,118.247,2.54515,0.390372
4600000,3,24.645,132.447,1.59408,0.391262
4700000,3,25.8029,123.626,1.76987,0.390319
4800000,5,32.5085,128.91,3.62033,0.387187
4900000,4,36.1555,152.606,0.955707,0.37521
5000000,1,15.7279,109.471,0.0737059,0.391974
5100000,1,14.7695,112.937,0.306005,0.396357
5200000,2,19.2608,134.044,0.931695,0.385735
5300000,3,27.5862,123.394,0.904534,0.387048
5400000,5,38.6162,129.508,1.86818,0.39024
