generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,1.18194,-165.065,1,0
100000,3,12.8047,-36.1011,0.601823,0.30039
200000,2,9.72169,-44.9129,1.48042,0.29757
300000,5,18.411,-55.1675,3.14466,0.297529
400000,2,8.36927,-45.2572,1.19888,0.30085
500000,3,12.2145,-66.3534,1.58528,0.298454
600000,5,16.4427,-37.5,1.14258,0.29584
700000,3,12.9975,-44.8992,2.10124,0.295963
800000,5,17.8862,-40.781,2.67337,0.295939
900000,5,10.4477,-50.5352,2.1945,0.296802
1000000,3,11.1046,-43.7102,2.88627,0.297013
1100000,5,16.9285,-51.8546,5.80743,0.29901
1200000,4,14.8457,-34.0039,1.85703,0.292505
1300000,3,8.33952,-49.9163,2.72808,0.29352
1400000,4,16.0476,-50.0477,2.28888,0.297284
1500000,2,10.4667,-39.0826,1.45572,0.29503
1600000,6,18.1593,-55.5106,2.74934,0.297021
1700000,2,11.8666,-56.9664,0.570685,0.30007
1800000,4,18.8464,-42.2727,2.29231,0.297357
1900000,2,12.2245,-34.143,0.65178,0.295271
2000000,2,7.39912,-48.0221,2.11297,0.300218
2100000,4,16.2902,-44.5696,2.3255,0.295067
2200000,8,23.4573,-43.0734,4.75001,0.30016
2300000,2,10.0603,-53.1122,1.19322,0.288882
2400000,3,11.7073,-37.4528,3.02722,0.29823
2500000,2,9.32933,-42.0386,0.879513,0.290205
2600000,2,11.05,-58.3241,1.87577,0.290469
2700000,3,6.55532,-59.3757,3.20043,0.291536
2800000,3,11.1098,-35.2013,3.72718,0.28974
2900000,3,15.1772,-36.8034,0.865519,0.294794
3000000,3,14.1634,-46.7121,2.63303,0.290748
3100000,4,16.81,-38.9664,3.21762,0.291315
3200000,6,23.0579,-47.4478,2.41526,0.29448
3300000,6,22.8663,-45.807,1.41545,0.29433
3400000,6,16.1758,-35.6047,3.37256,0.28673
3500000,4,16.9156,-37.2831,1.55445,0.28786
3600000,4,17.3851,-44.2345,2.18049,0.288717
3700000,3,12.3249,-49.8319,0.448197,0.292239
3800000,6,21.9427,-75.8837,5.08988,0.292285
3900000,3,13.5496,-29.0607,2.15685,0.292152
4000000,3,11.2033,-40.9181,1.33582,0.29142
4100000,4,16.2307,-53.594,3.19888,0.29156
4200000,5,11.8325,-43.3493,4.9094,0.288726
4300000,2,10.596,-49.7365,2.22565,0.291401
4400000,3,11.4226,-42.8965,3.0882,0.291328
4500000,2,8.9477,-52.2372,1.21675,0.291507
4600000,4,18.0978,-40.6367,1.11871,0.300598
4700000,5,19.787,-38.1502,3.287,0.299974
4800000,7,24.9106,-46.2225,3.84829,0.293453
4900000,2,9.77545,-52.0141,1.14572,0.29632
5000000,8,23.9982,-32.0723,5.59592,0.296271
5100000,4,15.9728,-71.9724,1.72186,0.294042
5200000,5,20.8701,-34.9862,2.6451,0.289177
5300000,3,12.4693,-42.6983,2.19665,0.290082
