generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,1.63688,-162.275,1,1
100000,3,8.83421,-27.5923,2.15042,0.371806
200000,3,12.983,-26.1756,1.63575,0.33677
300000,3,11.0142,-29.8414,2.27544,0.341066
400000,4,5.88883,-32.0376,4.44347,0.33434
500000,4,9.80984,-14.5247,2.04591,0.312773
600000,4,15.1804,-34.9657,2.47698,0.330523
700000,4,11.3579,-36.9344,1.86446,0.32793
800000,3,11.5401,-22.9704,2.27068,0.310896
900000,3,9.25828,-20.2009,1.84232,0.334147
1000000,5,14.0605,-25.6766,4.47308,0.329328
1100000,3,8.76868,-23.0894,2.02526,0.309293
1200000,6,19.2385,-8.25079,2.46887,0.310375
1300000,5,18.5018,-17.3188,3.71846,0.328225
1400000,4,13.2611,-21.2782,5.05295,0.327271
1500000,4,12.8861,3.84384,2.86745,0.302767
1600000,3,9.21292,-20.5443,1.92568,0.308712
1700000,5,11.3971,-35.3193,1.39321,0.31717
1800000,8,24.5217,-15.2065,5.1321,0.314417
1900000,5,15.4613,-5.17205,1.92489,0.31045
2000000,6,18.3436,-26.8831,3.12052,0.311375
2100000,3,8.492,-23.3301,2.12789,0.309754
2200000,6,14.7259,-39.68,4.02794,0.312667
2300000,6,9.88574,-5.21391,3.66712,0.308815
2400000,5,19.5008,-5.43055,1.62637,0.3068
2500000,8,26.3093,-19.0505,2.72244,0.313922
2600000,5,17.8059,-31.1669,2.50168,0.307716
2700000,5,12.7478,-16.3198,4.10945,0.306397
2800000,5,14.069,-24.508,3.61951,0.325854
2900000,6,19.8937,-0.490975,3.14623,0.307053
3000000,6,16.8435,-17.5273,3.82559,0.30639
3100000,5,11.5172,-37.9283,1.72796,0.326683
3200000,7,13.3865,-8.19533,6.7027,0.31164
3300000,4,12.0725,-5.81081,0.74451,0.325862
3400000,5,15.3783,1.76677,2.38314,0.312893
3500000,6,18.3354,-26.7477,3.24757,0.313944
3600000,4,15.8626,-2.06741,1.5587,0.308922
3700000,6,14.8554,-3.33075,4.55867,0.29999
3800000,4,8.23568,2.81377,3.60595,0.301815
3900000,5,16.0833,-9.1402,2.63633,0.307652
4000000,4,13.9309,-16.6089,1.53161,0.304623
4100000,4,9.25529,-8.2914,1.4872,0.300364
4200000,6,21.9982,-18.0133,3.06176,0.299612
4300000,5,15.1662,-14.5626,3.42299,0.30166
4400000,6,17.5463,7.17196,2.46397,0.306168
4500000,7,22.828,-5.14169,3.34941,0.306587
