generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-0.390392,-159.271,1,1
100000,6,23.7571,-6.78431,3.25733,0.24193
200000,2,12.0721,13.7522,1.86264,0.239314
300000,8,31.917,23.7821,4.16987,0.235839
400000,2,10.2593,26.2838,1.77152,0.231264
500000,4,22.3162,16.6869,1.29242,0.230408
600000,3,14.0075,17.5566,2.32672,0.208518
700000,5,22.0356,11.0695,3.60106,0.20878
800000,7,19.9254,19.8003,3.18262,0.229997
900000,6,29.4489,29.1796,1.28969,0.210893
1000000,2,11.1964,19.7967,1.89192,0.227387
1100000,3,9.26161,8.75967,2.80154,0.227634
1200000,2,10.2281,17.3063,1.90387,0.227606
1300000,6,25.2001,10.5039,3.16461,0.20593
1400000,3,17.2567,20.5043,0.91168,0.22794
1500000,8,30.3148,34.3848,4.99633,0.205253
1600000,3,8.37027,33.5233,1.51205,0.20626
1700000,4,16.994,32.9482,1.98295,0.20368
1800000,3,15.1472,6.68399,1.92092,0.228476
1900000,3,13.3413,9.98805,1.73507,0.22423
2000000,5,23.11,29.7486,2.66888,0.201758
2100000,8,33.231,18.151,4.49056,0.228835
2200000,3,15.338,11.4513,2.45166,0.22409
2300000,4,21.3509,13.7282,1.4068,0.224271
2400000,2,12.8789,27.139,0.774975,0.224395
2500000,6,17.6207,29.6858,4.36204,0.19924
2600000,5,16.2933,50.1878,2.00801,0.197535
2700000,3,11.6996,-6.27192,1.71665,0.226084
2800000,3,13.4933,10.3266,4.00995,0.225034
2900000,3,10.7223,11.5915,0.940382,0.198794
3000000,5,23.1843,21.0127,2.77228,0.223462
3100000,4,19.9966,13.5057,0.575821,0.228178
3200000,3,14.3013,24.8926,0.962984,0.200071
3300000,5,20.2282,21.7497,3.66153,0.226325
3400000,5,25.0315,40.5639,1.73471,0.200606
3500000,7,30.2367,17.4626,5.44448,0.226434
3600000,3,12.0349,12.4373,3.92832,0.226148
3700000,4,15.7202,14.7373,5.7058,0.22425
3800000,3,15.8047,20.7044,1.9415,0.198922
3900000,3,14.545,8.72853,3.59959,0.227218
4000000,4,11.024,13.4887,1.42628,0.215896
4100000,4,15.3658,22.9671,1.09833,0.22817
4200000,4,20.4472,7.56087,1.39871,0.22714
4300000,7,28.0346,29.6669,4.66916,0.199684
4400000,3,17.093,28.2695,0.644367,0.213436
4500000,9,32.4854,18.013,4.98849,0.200127
4600000,6,24.59,29.7591,3.95603,0.212482
4700000,3,12.3949,19.8358,2.59532,0.191535
4800000,7,25.6777,11.674,4.07192,0.211556
4900000,13,48.0689,13.2102,8.06981,0.222797
5000000,3,12.6824,23.0041,2.4676,0.22252
5100000,6,14.79,31.2092,2.25492,0.221286
5200000,6,25.8569,23.9898,2.76003,0.221535
5300000,4,20.9781,8.52631,1.73976,0.22747
5400000,4,16.9306,20.1148,3.35427,0.206273
5500000,7,17.4214,14.019,5.62302,0.224777
5600000,4,13.6272,32.0654,7.9231,0.223361
5700000,5,20.411,28.0338,4.91359,0.210227
5800000,9,29.5719,39.0995,5.56392,0.216667
5900000,5,22.7227,21.6375,2.41633,0.213914
6000000,4,16.7697,32.7168,2.84603,0.213288
6100000,5,18.9603,6.18103,3.38078,0.2185
6200000,4,18.8367,28.7965,2.92704,0.202005
6300000,8,34.3206,40.2106,5.28856,0.201957
6400000,4,17.3328,22.3303,1.87535,0.215686
6500000,3,16.6688,4.17451,1.00072,0.230341
6600000,8,28.31,21.6102,5.07338,0.201772
6700000,4,14.2149,27.5302,3.40941,0.21339
