generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-1.43022,-159.453,1,1
100000,9,33.1413,12.2356,9.09586,0.27333
200000,8,33.0921,19.4461,3.52008,0.26689
300000,4,16.26,22.6943,3.73985,0.263787
400000,5,22.6769,33.0555,2.3069,0.25917
500000,6,27.0134,-0.477379,2.14208,0.25591
600000,9,35.2256,21.1533,5.07188,0.257853
700000,3,12.5701,24.6459,2.21248,0.26416
800000,5,22.4711,36.7683,2.209,0.253955
900000,4,21.6246,9.36918,1.82129,0.284695
1000000,2,11.5521,10.427,1.03666,0.259864
1100000,2,14.6385,-11.1587,0.45559,0.26326
1200000,7,35.0094,32.7503,2.41193,0.263979
1300000,4,14.9729,34.0436,3.19454,0.265529
1400000,5,22.6687,0.614985,2.61163,0.28362
1500000,3,16.5446,18.1592,1.48642,0.278845
1600000,8,31.4196,37.3781,4.16614,0.281515
1700000,7,32.1269,33.7162,4.24416,0.251508
1800000,6,29.0244,44.8999,3.70806,0.260943
1900000,12,42.6736,17.8112,5.44332,0.283801
2000000,3,14.1163,22.4977,4.2076,0.245905
2100000,8,25.4832,46.0843,11.7387,0.24501
2200000,5,18.605,15.9126,5.37916,0.247783
2300000,5,22.3551,31.303,1.79256,0.24957
2400000,7,27.377,34.6911,4.62437,0.274315
2500000,5,20.3217,23.8628,5.26201,0.24462
2600000,7,33.6935,28.1944,4.46242,0.250005
2700000,7,29.3465,36.2502,4.41137,0.251038
2800000,3,15.2046,34.129,0.927248,0.24477
2900000,4,13.7219,24.9647,3.16672,0.248985
3000000,5,24.9024,36.3677,4.04341,0.252927
3100000,5,19.9738,32.9946,3.40475,0.247214
3200000,5,24.0022,33.243,0.953411,0.246696
3300000,5,16.6227,32.5549,3.13477,0.252841
3400000,3,18.5753,23.1896,0.614296,0.24905
3500000,6,27.2884,35.9813,2.23475,0.24853
3600000,7,33.3057,41.8912,2.44464,0.245467
3700000,4,18.1143,23.6784,1.4476,0.250572
3800000,3,14.3561,17.1706,1.94823,0.252742
3900000,6,28.6674,11.2343,2.17255,0.24566
4000000,8,34.8044,14.6289,4.25008,0.253666
4100000,5,20.7761,31.8193,2.55792,0.253282
4200000,7,31.8421,19.6731,4.58495,0.254488
4300000,3,15.4902,28.5886,0.952211,0.242223
4400000,5,19.3591,28.0451,4.48076,0.24242
4500000,10,45.5571,20.3831,3.86036,0.246787
4600000,4,22.0566,30.4692,1.80434,0.2556
4700000,2,11.7705,16.0102,0.765383,0.25536
4800000,4,19.6784,33.2564,2.48631,0.245862
4900000,4,20.8248,37.9623,1.48774,0.24086
5000000,6,29.1845,22.9982,1.17074,0.24649
5100000,4,18.2376,27.1409,2.33122,0.24718
5200000,11,41.624,31.5176,7.20799,0.256556
5300000,4,12.0199,17.826,3.10747,0.253726
5400000,10,35.6244,30.7056,4.36836,0.246207
5500000,5,22.9487,15.2489,3.67704,0.257683
5600000,4,20.7351,23.0805,1.72239,0.258039
5700000,4,14.9605,24.079,1.59482,0.2545
5800000,4,19.9782,22.5595,2.90478,0.24731
5900000,4,14.8444,28.5625,5.02732,0.253806
6000000,6,20.7238,25.7017,2.71179,0.25015
6100000,7,30.2871,42.7372,4.69862,0.252334
6200000,5,22.0949,19.3921,4.15254,0.24671
6300000,7,27.8928,3.33008,3.95434,0.261812
6400000,6,27.7862,33.0297,2.62427,0.253247
6500000,4,19.0474,27.1952,1.67224,0.240662
6600000,4,15.5316,13.7852,2.64559,0.251015
6700000,4,18.6164,27.1408,3.00528,0.246069
6800000,6,23.458,7.79781,4.8621,0.254086
6900000,6,23.063,28.7649,3.74533,0.253729
7000000,5,22.0202,22.1452,3.49531,0.252637
7100000,4,15.1738,13.7565,2.22008,0.253355
7200000,8,36.3109,23.6349,5.92872,0.254032
7300000,6,26.7238,21.7151,2.42391,0.263039
7400000,3,15.6284,33.7345,2.94596,0.258248
7500000,8,31.5863,37.9128,4.24235,0.256457
7600000,6,32.0165,20.3506,1.70164,0.2523
7700000,6,23.6284,40.2832,2.70566,0.24887
7800000,3,14.4754,6.80938,1.32844,0.262717
7900000,9,38.4939,34.6752,3.76799,0.258638
8000000,4,22.6172,20.0005,1.60147,0.25914
8100000,4,19.0396,8.01309,1.93023,0.259911
8200000,6,27.6037,51.2231,3.8492,0.263297
8300000,2,11.289,-7.55644,1.89753,0.261788
8400000,6,30.6247,42.8488,3.20871,0.243876
8500000,5,22.4762,24.282,1.69772,0.24745
8600000,3,18.9269,42.9778,1.17409,0.247165
8700000,6,24.6127,30.7285,4.03425,0.267845
8800000,8,37.3958,20.2694,4.33101,0.261944
8900000,9,38.0309,28.8379,5.31352,0.261537
9000000,4,19.6509,42.929,2.74641,0.250683
9100000,5,23.2723,41.0359,2.73188,0.261555
9200000,3,12.3278,5.03044,1.37739,0.245286
9300000,5,27.295,33.82,2.3374,0.247725
9400000,4,18.0047,21.5893,1.87283,0.24986
9500000,6,29.8652,31.2601,2.48669,0.24664
9600000,4,20.9335,44.4708,1.0722,0.259325
9700000,3,17.1354,11.6005,1.97895,0.25244
9800000,3,14.4415,17.4177,2.1416,0.25411
9900000,3,16.1642,26.9924,2.4802,0.255454
10000000,4,19.52,18.559,1.83767,0.24339
10100000,4,18.7615,24.1469,1.03193,0.24922
10200000,6,27.8917,37.8428,3.43138,0.252223
10300000,3,17.4482,11.4212,1.67848,0.252041
10400000,6,28.2755,36.239,1.25722,0.247365
10500000,6,29.6004,48.86,3.06655,0.255932
10600000,2,12.2953,-5.511,1.96492,0.25422
10700000,4,21.5229,29.3942,1.69562,0.254794
10800000,7,32.4842,16.7009,3.13999,0.253663
10900000,4,17.4143,10.3076,2.47191,0.250521
11000000,7,31.6541,22.7785,2.8113,0.249961
11100000,4,18.6847,39.2615,5.29362,0.248673
11200000,5,24.0938,35.8828,3.4695,0.24628
11300000,6,25.2974,11.7143,4.80452,0.249566
11400000,3,12.4733,23.6532,0.94867,0.251773
11500000,4,19.8399,37.1555,3.38139,0.25794
11600000,6,23.3891,40.6557,4.63714,0.252274
11700000,5,20.7239,27.3484,2.27611,0.249445
11800000,6,24.8699,39.4813,4.72972,0.24638
11900000,8,33.4042,49.7775,2.7824,0.247693
