generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,1.63411,-167.123,1,1
100000,1,6.41689,-17.1561,1.0504,0.352406
200000,2,6.75438,14.8695,2.7992,0.340173
300000,2,8.74653,14.2004,1.35374,0.306077
400000,1,5.45656,-26.6457,0.631312,0.338214
500000,4,13.5449,17.5396,1.78182,0.301605
600000,2,6.26205,0.506242,3.45879,0.334176
700000,2,6.95935,8.9714,0.378069,0.30191
800000,4,2.78639,9.80399,3.03439,0.301296
900000,4,12.74,-5.23061,3.13051,0.304187
1000000,3,9.80507,3.78385,2.51975,0.312057
1100000,3,3.68369,-7.97052,2.13524,0.305158
1200000,5,14.0012,7.2855,4.12865,0.301601
1300000,3,11.6767,-12.0983,2.03136,0.31019
1400000,3,13.4125,6.99628,1.21683,0.306068
1500000,5,16.5498,2.10244,2.6729,0.310478
1600000,3,10.7748,-2.38012,1.76521,0.303765
1700000,6,11.5915,9.2582,3.28045,0.305585
1800000,5,14.3182,1.4598,2.69496,0.30458
1900000,2,10.9391,-14.2421,0.62981,0.303981
2000000,2,9.14925,3.81814,1.43838,0.305845
2100000,2,8.99623,8.73694,0.587325,0.30111
2200000,2,6.42168,-4.83391,0.460566,0.303432
2300000,3,10.2229,3.40351,1.06913,0.305022
2400000,2,10.3128,1.62152,0.617997,0.304588
2500000,6,23.5846,-2.61622,2.28612,0.30015
2600000,3,12.0376,4.69324,1.63306,0.304549
2700000,4,9.41404,8.1028,2.44283,0.300888
2800000,3,11.5615,-1.90351,1.74666,0.304642
2900000,3,10.6865,4.33796,0.675041,0.30281
3000000,2,8.64887,-0.398033,1.57349,0.302927
3100000,5,18.3334,-17.5515,1.91294,0.318007
3200000,2,7.29132,12.0475,1.81574,0.30607
3300000,2,10.2759,-10.5537,1.1082,0.319412
3400000,4,15.3705,-0.993935,2.09135,0.31544
3500000,6,20.0692,8.18532,3.50071,0.30645
3600000,2,7.11046,-5.53066,1.35783,0.30522
3700000,7,18.2304,-9.34084,2.66567,0.304408
3800000,2,9.42972,2.49383,0.694273,0.315758
3900000,7,21.5655,-3.49512,3.72596,0.302853
4000000,3,12.2567,3.20062,1.56147,0.314863
4100000,3,11.7824,5.51231,0.853375,0.314661
4200000,3,3.93596,-10.9187,1.90076,0.314792
4300000,5,16.4122,-0.537248,3.25686,0.29993
4400000,2,10.0215,-17.8425,0.694694,0.304823
4500000,2,9.47226,0.310662,0.867046,0.312165
4600000,4,12.3508,5.06686,2.90672,0.30768
4700000,2,9.30199,0.704983,1.32946,0.30719
4800000,2,10.0558,-27.9996,1.91564,0.306924
4900000,2,6.7587,-9.47028,1.33004,0.307278
5000000,3,6.62949,3.94435,3.11094,0.305294
5100000,1,6.36051,-23.4404,1.10495,0.320443
5200000,5,19.4671,-11.8256,1.33321,0.307434
5300000,3,9.79677,12.3529,2.80887,0.307165
5400000,3,8.65481,0.229537,1.66315,0.303621
5500000,3,12.2649,-3.75043,1.10116,0.30934
5600000,3,10.9306,12.071,2.37378,0.309255
5700000,5,18.6784,-7.15666,2.64454,0.307993
5800000,2,8.49055,6.28065,2.23124,0.304912
5900000,2,10.9258,-1.61839,0.213325,0.304884
6000000,3,12.8195,-8.34002,1.86987,0.304263
6100000,4,15.6698,-8.0535,2.71744,0.305062
