species,CTL,Reg1
Boiga_irregularis,-0.358105881,1
Dispholidus_typus,-0.391676306,3
Hypsiglena_torquata,-0.174476052,3
Opheodrys_aestivus,-0.399213836,7
Pantherophis_guttatus,-0.399284019,5
Phalotris_mertensi,0.822821283,2
Philodryas_olfersii,-0.195619323,3
Thamnodynastes_strigatus,-0.143116735,3
Agkistrodon_piscivorus,-0.155979758,3
Atropoides_picadoi,-0.220512224,3
Bothriechis_lateralis,-0.368734945,3
Bothriechis_schlegelii,-0.770282542,3
Bothrops_alternatus,0.388086563,3
Bothrops_asper,-0.528882243,3
Bothrops_atrox,-0.226062663,3
Bothrops_colombiensis,-0.277340249,3
Bothrops_insularis,0.399697418,3
Bothrops_jararaca,0.476569918,3
Bothrops_jararacussu,-0.069369685,4
Bothrops_moojeni,-0.24113775,3
Bothrops_neuwiedi,-0.048848102,3
Cerrophidion_godmani,-0.512363785,3
Crotalus_adamanteus,1.698437739,5
Crotalus_durissus,-0.343935613,5
Crotalus_horridus,-0.495372826,5
Crotalus_simus,-0.477252011,4
Crotalus_scutulatus,1.092955666,5
Gloydius_intermedius,-0.188704348,4
Lachesis_muta,-0.165286797,4
Ovophis_okinavensis,-0.022042567,5
Protobothrops_elegans,-0.356004113,5
Protobothrops_mucrosquamatus,-0.422514101,5
Protobothrops_flavoviridis,0.539741198,5
Sistrurus_catenatus,-0.525462681,5
Bungarus_flaviceps,-0.585182207,7
Bungarus_multicinctus,-0.294827343,7
Drysdalia_coronoides,-0.334277933,7
Micrurus_altirostris,-0.311026741,7
Micrurus_corallinus,-0.228813899,6
Micrurus_fulvius,-0.434819003,6
Micrurus_lemniscatus,-0.434039154,7
Micrurus_spixii,-0.454790159,7
Micrurus_surinamensis,-0.488514042,7
Naja_atra,-0.308103582,7
Naja_kaouthia,-0.360796274,7
Ophiophagus_hannah,-0.61894364,1
Pseudonaja_textilis,-0.563339519,5
Bitis_gabonica,0.042311594,3
Echis_carinatus,0.404400547,3
Echis_coloratus,0.051575301,3
Echis_ocellatus,0.053864522,3
Echis_pyramidum,0.845268561,3
